id,transaction_id,category_id,category_name,item_id,item_name
1,1,4,Pet Food,18,Wet Cat Food
2,1,4,Pet Food,17,Dry Cat Food
3,1,2,Bakery,5,White Bread
4,1,1,Dairy,4,Cream
5,1,3,Produce,12,Organge
6,1,4,Pet Food,18,Wet Cat Food
7,1,2,Bakery,8,White Rolls
8,1,2,Bakery,7,Wraps
9,1,2,Bakery,5,White Bread
10,2,2,Bakery,8,White Rolls
11,2,1,Dairy,3,Butter
12,2,2,Bakery,7,Wraps
13,2,1,Dairy,2,Cheese
14,3,2,Bakery,7,Wraps
15,4,3,Produce,14,Bannana
16,4,4,Pet Food,17,Dry Cat Food
17,4,2,Bakery,9,Chocolate Cake
18,4,3,Produce,12,Organge
19,5,1,Dairy,2,Cheese
20,5,2,Bakery,8,White Rolls
21,6,3,Produce,11,Apple
22,6,2,Bakery,9,Chocolate Cake
23,6,2,Bakery,6,Brown Bread
24,6,4,Pet Food,19,Dry Dog Food
25,7,2,Bakery,8,White Rolls
26,7,2,Bakery,6,Brown Bread
27,7,2,Bakery,10,Apple Pie
28,7,4,Pet Food,19,Dry Dog Food
29,8,3,Produce,11,Apple
30,8,3,Produce,11,Apple
31,9,3,Produce,14,Bannana
32,9,1,Dairy,4,Cream
33,10,2,Bakery,6,Brown Bread
34,11,4,Pet Food,20,Wet Dog Food
35,12,3,Produce,13,Pear
36,13,4,Pet Food,19,Dry Dog Food
37,14,1,Dairy,1,Milk
38,14,4,Pet Food,18,Wet Cat Food
39,14,3,Produce,13,Pear
40,15,4,Pet Food,19,Dry Dog Food
41,15,1,Dairy,3,Butter
42,16,2,Bakery,5,White Bread
43,16,2,Bakery,10,Apple Pie
44,16,4,Pet Food,18,Wet Cat Food
45,16,4,Pet Food,17,Dry Cat Food
46,17,1,Dairy,1,Milk
47,17,4,Pet Food,18,Wet Cat Food
48,17,4,Pet Food,19,Dry Dog Food
49,17,4,Pet Food,20,Wet Dog Food
50,17,2,Bakery,5,White Bread
51,17,2,Bakery,6,Brown Bread
52,18,2,Bakery,8,White Rolls
53,18,2,Bakery,6,Brown Bread
54,18,1,Dairy,4,Cream
55,18,4,Pet Food,20,Wet Dog Food
56,18,1,Dairy,3,Butter
57,19,4,Pet Food,19,Dry Dog Food
58,19,4,Pet Food,17,Dry Cat Food
59,20,1,Dairy,3,Butter
60,20,2,Bakery,8,White Rolls
61,21,3,Produce,12,Organge
62,21,4,Pet Food,18,Wet Cat Food
63,22,1,Dairy,2,Cheese
64,23,2,Bakery,10,Apple Pie
65,24,2,Bakery,10,Apple Pie
66,24,1,Dairy,1,Milk
67,24,2,Bakery,9,Chocolate Cake
68,24,4,Pet Food,20,Wet Dog Food
69,25,3,Produce,16,Strawberries
70,25,2,Bakery,9,Chocolate Cake
71,26,3,Produce,12,Organge
72,27,2,Bakery,7,Wraps
73,28,2,Bakery,7,Wraps
74,28,2,Bakery,5,White Bread
75,29,3,Produce,14,Bannana
76,29,3,Produce,14,Bannana
77,29,3,Produce,13,Pear
78,29,2,Bakery,8,White Rolls
79,29,2,Bakery,9,Chocolate Cake
80,29,3,Produce,13,Pear
81,29,3,Produce,13,Pear
82,30,2,Bakery,10,Apple Pie
83,31,2,Bakery,9,Chocolate Cake
84,32,2,Bakery,6,Brown Bread
85,32,2,Bakery,10,Apple Pie
86,32,2,Bakery,6,Brown Bread
87,33,2,Bakery,10,Apple Pie
88,33,3,Produce,14,Bannana
89,34,2,Bakery,7,Wraps
90,35,3,Produce,13,Pear
91,35,2,Bakery,7,Wraps
92,35,1,Dairy,1,Milk
93,35,1,Dairy,1,Milk
94,36,2,Bakery,10,Apple Pie
95,36,3,Produce,13,Pear
96,36,4,Pet Food,20,Wet Dog Food
97,36,3,Produce,13,Pear
98,36,4,Pet Food,19,Dry Dog Food
99,37,3,Produce,16,Strawberries
100,37,4,Pet Food,20,Wet Dog Food
101,37,1,Dairy,4,Cream
102,37,2,Bakery,6,Brown Bread
103,38,3,Produce,15,Grapes
104,39,3,Produce,14,Bannana
105,39,1,Dairy,1,Milk
106,39,3,Produce,12,Organge
107,40,2,Bakery,10,Apple Pie
108,40,4,Pet Food,17,Dry Cat Food
109,40,2,Bakery,5,White Bread
110,41,2,Bakery,6,Brown Bread
111,41,3,Produce,16,Strawberries
112,42,3,Produce,15,Grapes
113,42,2,Bakery,9,Chocolate Cake
114,42,4,Pet Food,19,Dry Dog Food
115,43,3,Produce,15,Grapes
116,43,1,Dairy,4,Cream
117,43,3,Produce,11,Apple
118,44,3,Produce,13,Pear
119,44,4,Pet Food,19,Dry Dog Food
120,45,4,Pet Food,18,Wet Cat Food
121,45,1,Dairy,4,Cream
122,46,2,Bakery,10,Apple Pie
123,46,2,Bakery,9,Chocolate Cake
124,46,3,Produce,14,Bannana
125,46,4,Pet Food,19,Dry Dog Food
126,47,1,Dairy,3,Butter
127,47,2,Bakery,8,White Rolls
128,47,1,Dairy,1,Milk
129,47,3,Produce,15,Grapes
130,47,4,Pet Food,18,Wet Cat Food
131,47,4,Pet Food,17,Dry Cat Food
132,47,3,Produce,11,Apple
133,47,2,Bakery,5,White Bread
134,47,2,Bakery,8,White Rolls
135,47,2,Bakery,8,White Rolls
136,47,2,Bakery,6,Brown Bread
137,47,4,Pet Food,20,Wet Dog Food
138,47,3,Produce,13,Pear
139,47,4,Pet Food,19,Dry Dog Food
140,48,2,Bakery,5,White Bread
141,48,4,Pet Food,17,Dry Cat Food
142,48,2,Bakery,8,White Rolls
143,48,3,Produce,14,Bannana
144,48,3,Produce,11,Apple
145,48,3,Produce,11,Apple
146,48,2,Bakery,7,Wraps
147,49,4,Pet Food,20,Wet Dog Food
148,49,1,Dairy,1,Milk
149,49,2,Bakery,5,White Bread
150,49,2,Bakery,6,Brown Bread
151,49,2,Bakery,9,Chocolate Cake
152,49,4,Pet Food,19,Dry Dog Food
153,49,1,Dairy,3,Butter
154,50,3,Produce,14,Bannana
155,50,3,Produce,11,Apple
156,50,1,Dairy,4,Cream
157,50,2,Bakery,6,Brown Bread
158,51,4,Pet Food,20,Wet Dog Food
159,51,1,Dairy,1,Milk
160,51,3,Produce,15,Grapes
161,51,3,Produce,13,Pear
162,51,3,Produce,13,Pear
163,51,4,Pet Food,17,Dry Cat Food
164,51,2,Bakery,8,White Rolls
165,51,1,Dairy,2,Cheese
166,51,2,Bakery,10,Apple Pie
167,52,3,Produce,13,Pear
168,53,3,Produce,12,Organge
169,53,1,Dairy,1,Milk
170,53,3,Produce,14,Bannana
171,53,3,Produce,11,Apple
172,53,3,Produce,16,Strawberries
173,54,2,Bakery,7,Wraps
174,54,3,Produce,14,Bannana
175,54,1,Dairy,2,Cheese
176,54,3,Produce,15,Grapes
177,54,2,Bakery,7,Wraps
178,54,4,Pet Food,17,Dry Cat Food
179,55,1,Dairy,2,Cheese
180,55,2,Bakery,9,Chocolate Cake
181,55,3,Produce,12,Organge
182,55,3,Produce,15,Grapes
183,55,2,Bakery,6,Brown Bread
184,55,2,Bakery,7,Wraps
185,55,3,Produce,14,Bannana
186,55,4,Pet Food,19,Dry Dog Food
187,56,4,Pet Food,20,Wet Dog Food
188,56,2,Bakery,7,Wraps
189,57,3,Produce,14,Bannana
190,57,3,Produce,13,Pear
191,57,4,Pet Food,19,Dry Dog Food
192,57,3,Produce,13,Pear
193,58,1,Dairy,4,Cream
194,59,3,Produce,12,Organge
195,60,1,Dairy,4,Cream
196,61,2,Bakery,7,Wraps
197,62,1,Dairy,4,Cream
198,62,3,Produce,14,Bannana
199,63,2,Bakery,5,White Bread
200,64,3,Produce,13,Pear
201,64,4,Pet Food,17,Dry Cat Food
202,65,4,Pet Food,20,Wet Dog Food
203,66,2,Bakery,7,Wraps
204,67,3,Produce,13,Pear
205,68,4,Pet Food,20,Wet Dog Food
206,69,3,Produce,15,Grapes
207,69,1,Dairy,2,Cheese
208,69,2,Bakery,6,Brown Bread
209,70,1,Dairy,3,Butter
210,71,3,Produce,14,Bannana
211,71,1,Dairy,2,Cheese
212,71,1,Dairy,1,Milk
213,71,1,Dairy,4,Cream
214,72,3,Produce,16,Strawberries
215,73,3,Produce,13,Pear
216,73,3,Produce,16,Strawberries
217,73,2,Bakery,6,Brown Bread
218,73,1,Dairy,2,Cheese
219,73,1,Dairy,1,Milk
220,73,3,Produce,14,Bannana
221,73,1,Dairy,4,Cream
222,73,3,Produce,13,Pear
223,74,2,Bakery,8,White Rolls
224,75,4,Pet Food,20,Wet Dog Food
225,75,2,Bakery,9,Chocolate Cake
226,75,3,Produce,11,Apple
227,75,2,Bakery,10,Apple Pie
228,75,3,Produce,16,Strawberries
229,76,3,Produce,11,Apple
230,76,2,Bakery,6,Brown Bread
231,77,3,Produce,16,Strawberries
232,77,2,Bakery,6,Brown Bread
233,77,4,Pet Food,17,Dry Cat Food
234,77,3,Produce,12,Organge
235,78,4,Pet Food,18,Wet Cat Food
236,78,3,Produce,11,Apple
237,79,4,Pet Food,20,Wet Dog Food
238,79,4,Pet Food,20,Wet Dog Food
239,79,1,Dairy,1,Milk
240,79,1,Dairy,4,Cream
241,79,1,Dairy,3,Butter
242,79,2,Bakery,5,White Bread
243,79,3,Produce,15,Grapes
244,80,2,Bakery,10,Apple Pie
245,80,2,Bakery,6,Brown Bread
246,80,2,Bakery,5,White Bread
247,80,2,Bakery,10,Apple Pie
248,80,2,Bakery,5,White Bread
249,80,4,Pet Food,17,Dry Cat Food
250,80,3,Produce,11,Apple
251,80,3,Produce,14,Bannana
252,81,2,Bakery,8,White Rolls
253,82,2,Bakery,7,Wraps
254,82,2,Bakery,9,Chocolate Cake
255,82,4,Pet Food,18,Wet Cat Food
256,82,1,Dairy,2,Cheese
257,83,2,Bakery,9,Chocolate Cake
258,84,1,Dairy,1,Milk
259,84,4,Pet Food,18,Wet Cat Food
260,84,1,Dairy,3,Butter
261,84,3,Produce,14,Bannana
262,85,2,Bakery,7,Wraps
263,85,2,Bakery,6,Brown Bread
264,86,2,Bakery,7,Wraps
265,86,3,Produce,12,Organge
266,86,4,Pet Food,17,Dry Cat Food
267,86,2,Bakery,5,White Bread
268,86,2,Bakery,7,Wraps
269,87,1,Dairy,1,Milk
270,87,1,Dairy,4,Cream
271,87,3,Produce,12,Organge
272,87,2,Bakery,10,Apple Pie
273,88,2,Bakery,5,White Bread
274,88,3,Produce,12,Organge
275,88,3,Produce,12,Organge
276,88,3,Produce,16,Strawberries
277,88,3,Produce,16,Strawberries
278,89,3,Produce,11,Apple
279,90,4,Pet Food,17,Dry Cat Food
280,91,3,Produce,14,Bannana
281,92,3,Produce,16,Strawberries
282,93,2,Bakery,5,White Bread
283,93,3,Produce,13,Pear
284,93,1,Dairy,2,Cheese
285,94,1,Dairy,2,Cheese
286,94,2,Bakery,6,Brown Bread
287,95,2,Bakery,6,Brown Bread
288,95,3,Produce,13,Pear
289,95,2,Bakery,8,White Rolls
290,95,4,Pet Food,18,Wet Cat Food
291,95,3,Produce,16,Strawberries
292,95,2,Bakery,6,Brown Bread
293,96,1,Dairy,2,Cheese
294,97,1,Dairy,2,Cheese
295,98,3,Produce,11,Apple
296,98,4,Pet Food,19,Dry Dog Food
297,98,3,Produce,11,Apple
298,98,1,Dairy,4,Cream
299,99,2,Bakery,10,Apple Pie
300,100,2,Bakery,6,Brown Bread
301,101,3,Produce,12,Organge
302,101,4,Pet Food,19,Dry Dog Food
303,102,3,Produce,14,Bannana
304,102,2,Bakery,8,White Rolls
305,103,3,Produce,12,Organge
306,103,2,Bakery,8,White Rolls
307,104,3,Produce,14,Bannana
308,104,3,Produce,13,Pear
309,104,4,Pet Food,20,Wet Dog Food
310,104,3,Produce,16,Strawberries
311,104,2,Bakery,9,Chocolate Cake
312,104,1,Dairy,4,Cream
313,104,1,Dairy,3,Butter
314,104,4,Pet Food,19,Dry Dog Food
315,104,3,Produce,14,Bannana
316,105,2,Bakery,10,Apple Pie
317,106,2,Bakery,7,Wraps
318,106,3,Produce,11,Apple
319,107,1,Dairy,2,Cheese
320,108,4,Pet Food,17,Dry Cat Food
321,108,4,Pet Food,18,Wet Cat Food
322,108,3,Produce,13,Pear
323,109,3,Produce,15,Grapes
324,110,1,Dairy,4,Cream
325,111,2,Bakery,10,Apple Pie
326,112,2,Bakery,5,White Bread
327,113,3,Produce,12,Organge
328,113,3,Produce,16,Strawberries
329,113,2,Bakery,5,White Bread
330,114,3,Produce,11,Apple
331,114,2,Bakery,5,White Bread
332,115,4,Pet Food,20,Wet Dog Food
333,116,4,Pet Food,19,Dry Dog Food
334,116,1,Dairy,4,Cream
335,116,4,Pet Food,18,Wet Cat Food
336,116,2,Bakery,6,Brown Bread
337,116,2,Bakery,5,White Bread
338,116,1,Dairy,3,Butter
339,116,3,Produce,14,Bannana
340,116,4,Pet Food,20,Wet Dog Food
341,116,2,Bakery,6,Brown Bread
342,117,2,Bakery,10,Apple Pie
343,117,2,Bakery,9,Chocolate Cake
344,118,3,Produce,13,Pear
345,119,1,Dairy,1,Milk
346,119,2,Bakery,5,White Bread
347,119,2,Bakery,8,White Rolls
348,119,1,Dairy,4,Cream
349,120,4,Pet Food,18,Wet Cat Food
350,120,4,Pet Food,20,Wet Dog Food
351,120,3,Produce,16,Strawberries
352,121,1,Dairy,4,Cream
353,121,4,Pet Food,18,Wet Cat Food
354,121,3,Produce,13,Pear
355,121,4,Pet Food,20,Wet Dog Food
356,121,4,Pet Food,18,Wet Cat Food
357,121,4,Pet Food,17,Dry Cat Food
358,121,3,Produce,14,Bannana
359,121,4,Pet Food,18,Wet Cat Food
360,121,1,Dairy,4,Cream
361,122,2,Bakery,10,Apple Pie
362,123,2,Bakery,10,Apple Pie
363,123,3,Produce,14,Bannana
364,124,1,Dairy,2,Cheese
365,124,3,Produce,15,Grapes
366,124,4,Pet Food,18,Wet Cat Food
367,124,3,Produce,13,Pear
368,124,3,Produce,14,Bannana
369,124,2,Bakery,6,Brown Bread
370,125,3,Produce,14,Bannana
371,125,4,Pet Food,18,Wet Cat Food
372,125,1,Dairy,3,Butter
373,126,2,Bakery,8,White Rolls
374,126,2,Bakery,5,White Bread
375,127,4,Pet Food,19,Dry Dog Food
376,127,1,Dairy,1,Milk
377,128,3,Produce,16,Strawberries
378,128,3,Produce,16,Strawberries
379,128,4,Pet Food,17,Dry Cat Food
380,128,2,Bakery,9,Chocolate Cake
381,128,1,Dairy,4,Cream
382,128,2,Bakery,6,Brown Bread
383,128,2,Bakery,8,White Rolls
384,128,3,Produce,16,Strawberries
385,128,3,Produce,12,Organge
386,129,1,Dairy,3,Butter
387,129,2,Bakery,9,Chocolate Cake
388,129,4,Pet Food,20,Wet Dog Food
389,129,1,Dairy,4,Cream
390,129,1,Dairy,3,Butter
391,129,3,Produce,14,Bannana
392,130,4,Pet Food,19,Dry Dog Food
393,130,3,Produce,13,Pear
394,131,3,Produce,12,Organge
395,132,2,Bakery,8,White Rolls
396,132,4,Pet Food,19,Dry Dog Food
397,132,3,Produce,12,Organge
398,132,4,Pet Food,17,Dry Cat Food
399,132,4,Pet Food,18,Wet Cat Food
400,133,1,Dairy,1,Milk
401,133,3,Produce,12,Organge
402,133,1,Dairy,3,Butter
403,133,2,Bakery,5,White Bread
404,133,2,Bakery,6,Brown Bread
405,133,3,Produce,11,Apple
406,133,4,Pet Food,20,Wet Dog Food
407,133,2,Bakery,9,Chocolate Cake
408,134,1,Dairy,4,Cream
409,134,3,Produce,12,Organge
410,135,1,Dairy,4,Cream
411,135,2,Bakery,5,White Bread
412,136,4,Pet Food,19,Dry Dog Food
413,137,1,Dairy,4,Cream
414,137,2,Bakery,6,Brown Bread
415,137,3,Produce,15,Grapes
416,137,3,Produce,14,Bannana
417,137,1,Dairy,1,Milk
418,137,2,Bakery,6,Brown Bread
419,137,1,Dairy,1,Milk
420,137,1,Dairy,2,Cheese
421,138,3,Produce,13,Pear
422,138,3,Produce,13,Pear
423,138,1,Dairy,2,Cheese
424,138,3,Produce,16,Strawberries
425,139,2,Bakery,9,Chocolate Cake
426,139,4,Pet Food,18,Wet Cat Food
427,139,3,Produce,12,Organge
428,139,4,Pet Food,17,Dry Cat Food
429,139,3,Produce,15,Grapes
430,139,2,Bakery,10,Apple Pie
431,139,3,Produce,15,Grapes
432,139,3,Produce,13,Pear
433,139,3,Produce,15,Grapes
434,139,4,Pet Food,19,Dry Dog Food
435,139,2,Bakery,7,Wraps
436,140,1,Dairy,4,Cream
437,140,3,Produce,16,Strawberries
438,140,2,Bakery,5,White Bread
439,140,3,Produce,14,Bannana
440,140,3,Produce,16,Strawberries
441,140,2,Bakery,10,Apple Pie
442,140,1,Dairy,4,Cream
443,140,3,Produce,12,Organge
444,140,3,Produce,11,Apple
445,140,3,Produce,11,Apple
446,140,3,Produce,12,Organge
447,140,2,Bakery,9,Chocolate Cake
448,140,2,Bakery,5,White Bread
449,141,1,Dairy,4,Cream
450,142,1,Dairy,3,Butter
451,142,1,Dairy,2,Cheese
452,142,3,Produce,13,Pear
453,142,2,Bakery,6,Brown Bread
454,142,2,Bakery,6,Brown Bread
455,142,4,Pet Food,20,Wet Dog Food
456,143,1,Dairy,2,Cheese
457,144,1,Dairy,2,Cheese
458,144,2,Bakery,6,Brown Bread
459,144,2,Bakery,7,Wraps
460,144,4,Pet Food,19,Dry Dog Food
461,144,1,Dairy,1,Milk
462,144,1,Dairy,1,Milk
463,144,4,Pet Food,17,Dry Cat Food
464,144,4,Pet Food,18,Wet Cat Food
465,144,2,Bakery,8,White Rolls
466,144,4,Pet Food,18,Wet Cat Food
467,144,1,Dairy,1,Milk
468,144,4,Pet Food,20,Wet Dog Food
469,144,1,Dairy,4,Cream
470,145,4,Pet Food,17,Dry Cat Food
471,145,1,Dairy,1,Milk
472,145,2,Bakery,5,White Bread
473,146,3,Produce,14,Bannana
474,147,3,Produce,14,Bannana
475,148,4,Pet Food,18,Wet Cat Food
476,148,1,Dairy,2,Cheese
477,149,1,Dairy,4,Cream
478,149,1,Dairy,3,Butter
479,150,3,Produce,15,Grapes
480,150,4,Pet Food,19,Dry Dog Food
481,150,1,Dairy,3,Butter
482,150,1,Dairy,3,Butter
483,150,3,Produce,12,Organge
484,150,2,Bakery,7,Wraps
485,150,4,Pet Food,18,Wet Cat Food
486,151,1,Dairy,3,Butter
487,152,2,Bakery,5,White Bread
488,152,2,Bakery,10,Apple Pie
489,153,3,Produce,11,Apple
490,153,1,Dairy,4,Cream
491,154,3,Produce,13,Pear
492,154,1,Dairy,2,Cheese
493,154,3,Produce,15,Grapes
494,155,4,Pet Food,18,Wet Cat Food
495,155,4,Pet Food,20,Wet Dog Food
496,155,2,Bakery,7,Wraps
497,155,2,Bakery,9,Chocolate Cake
498,155,3,Produce,12,Organge
499,155,1,Dairy,3,Butter
500,156,3,Produce,15,Grapes
501,156,2,Bakery,5,White Bread
502,156,1,Dairy,2,Cheese
503,157,4,Pet Food,17,Dry Cat Food
504,157,3,Produce,12,Organge
505,157,4,Pet Food,20,Wet Dog Food
506,157,2,Bakery,8,White Rolls
507,157,3,Produce,11,Apple
508,158,3,Produce,16,Strawberries
509,158,2,Bakery,7,Wraps
510,158,3,Produce,13,Pear
511,159,2,Bakery,6,Brown Bread
512,159,1,Dairy,3,Butter
513,159,3,Produce,12,Organge
